Algorithm,Average Waiting Time,Average Turnaround Time,CPU Utilization (%),Throughput
FCFS,2.333333333333333,5.333333333333333,,
FCFS,2.333333333333333,5.333333333333333,,
SJF,1.6666666666666667,4.666666666666667,,
Round Robin (q=2),1.5,3.0,,
FCFS,2.333333333333333,5.333333333333333,100.0,0.3333333333333333
SJF,1.6666666666666667,4.666666666666667,100.0,0.3333333333333333
Round Robin (q=2),1.5,3.0,244.44444444444446,0.6666666666666666
